id	product_desc	advertiser	agency_name	order_revision	alt_order_no	estimate	flight_from	flight_to	original_date	revision_date	order_type	buying_contact	billing_contact	demographic	product_codes	priority	revenue_codes	primary_ae	sales_office	sales_region	billing_type	billing_calendar	billing_cycle	agency_commission	new_business_through	order_separation	advertiser_external_id	agency_external_id	page	total_pages	product_desc_original	advertiser_original
KARE_14060459856093		AL Franken for Senate	Shorr Johnson Magnus	903617 		WEEK 16 2014 	2014-07-15	2014-07-21	2014-07-14	2014-07-17	Political 		100 N. 20th St. Suite 201 Philadelphia, PA 19103 	A25-54	PL-US Senate 	P02-FTB 	AGY, GEN, GEN 	Jim Quinn 	T-PHI 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 		8543AG 	1	4	WEEK 16 2014 	Al Franken for Senate 
KCOP-TV_14129676050385	Brown for Governor	Jerry Brown for Governor	Sadler Strategic Media	379390 		1611 	2014-10-11	2014-11-04	2014-10-07	2014-10-08	GENERAL 	Sheri Sadler Wolf 	12103 Viewcrest Road Studio City, CA 91604 	A35+	PL1e 	Political LUR 	AGY, POL, POL-CAND 	Los Angeles House Account 	L-LA 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:30:00 			1	3	Brown for Governor 	Jerry Brown for Governor 
KPDX_14135862000722		Kitzhaber for Governor Dem	Media Analysis	907 61 1 		742 					GENERAL 	Jackson Marla 	PO Box 66490 OR Portland, 97290 	A35+	Political-Cand-Governor 	PMT 	POL, PLC, POL LPL 	Local Local House KPDX House KPDX 	KPDX 	Local 	Cash	Broadcast	EOM/EOC 			00:15:00 				1	Flight 9122-1113114 	Kitzhaber Governor For 
KPTV_14072830358468	Freedom Partners	Freedom Partners	Target Enterprises	598086 		1027 					GENERAL 		Ventura Ste. 1240 Blvd. 15260 CA Oaks, Sherman 91403 	A35+	Political-lssu es 	IMP 	PLI, FLT POL, 	Cathy Simon 	T-LAX 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 				1	FREEDOM PARTNERS 	Partners Freedom 
KPTV_14141796421162		Richardson for Governor	Cappelli Miles	3525 61 		580 - 					GENERAL 	Price Darcey 	Anne Meile Phil Suite Two Point Drive, 300 Center OR Lake 97035 Oswego, 	A35+	Political-Cand-Governor 	PMT 	POL, PLC, GPL 	Local KPTV House KPTV Local House KPTV 	Local 		Cash	Broadcast	EOM/EOC 	15%		00:15:00 				1	Flight 4 -1 127 21 0 I 1 1 	Governor Richardson For 
KPTV_14147652658755	Merkley	Jeff Merkley for Oregon	Screen Strategies Media	598829 		627 - 					GENERAL 	Jones Rachel 	Suite 505 Boulevard, 150 Fairfax 1 1 VA 20120 Fairfax, 	A18+	Political-Cand-Senate 	IMP 	PLC, FLT POL, 	Local KPTV Local House KPTV House 	KPTV 	Local 	Cash	Broadcast	EOM/EOC 			00:15:00 					Oregon Merkley 	Oregon For Merkley Jeff 
KSAT-TV_14075341155552	Davis for Governor	Gov/Wendy Davis	Greer Margolis Mitchell and Burns	329531 		3328 					GENERAL 		3050 Street K NW DC Washington, 20007 	A35+	PL-Gubernatorial-Democrat 	P-2 	AGY, POL, CAND 	KSAT 12 TV Frank LeBlanc 	DC 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 				1	DAVIS FOR GOVERNOR 	Pol-Gov-D-W. Davis 
KSTP-TV_14047606837951	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	222107 		N/A 	2014-07-08	2014-07-13	2014-07-07	2014-07-07	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	4	Mike McFadden for Senate 	Mike McFadden for Senate 
KSTP-TV_14050989745526	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	222460 		N/A 	2014-07-14	2014-07-20	2014-07-11	2014-07-11	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	4	Mike McFadden for Senate 	Mike McFadden for Senate 
KSTP-TV_14057008725707	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	223037 		MM2014 	2014-07-21	2014-07-28	2014-07-18	2014-07-18	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	4	Mike McFadden for Senate 	Mike McFadden for Senate 
