file_id,title,contract_num,advertiser,gross_amount,flight_from,flight_to,issues,url
98905496-5904-ec4a-c59a-7c6d297b4bfa, invoice 507337-1,507337-1,"Mike Bloomberg 2020, Inc.","$1,880.00",02/03/20,03/29/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/98905496-5904-ec4a-c59a-7c6d297b4bfa.pdf
7dbf9918-89bc-c8f7-aeb2-09e9628fb9dd,1327234-1,1327234-1,American Action Network,"14,625.00",01/11/20,01/17/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/7dbf9918-89bc-c8f7-aeb2-09e9628fb9dd.pdf
7a959789-775e-4c7d-a0aa-f9e5a9865844,1327580-1,1327580-1,American Action Network,"$3,210.00",01/18/20,01/22/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/7a959789-775e-4c7d-a0aa-f9e5a9865844.pdf
3515690b-0081-10b9-1077-26ea74749d49,1339936 Bloomberg Feb 1-12 KVII Order Updated,1339936,MikeBloomberg2020Inc-D,"$63,705.00",02/01/20,02/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/3515690b-0081-10b9-1077-26ea74749d49.pdf
f25a6d9e-3070-32e2-5218-aa8e7764389f,1384047-1 Jeffrey Sites Invoice,1384047-1,Jeffrey Sites for Congress-D,$210.00,04/07/20,04/13/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/f25a6d9e-3070-32e2-5218-aa8e7764389f.pdf
64243566-745a-3edd-224b-542129a844a6,1387689 WNWO Toledo Jeffrey Sites EST 124 ORDER,2412110,JEFFREY SITES,$450,Apr16/20,Apr22/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/64243566-745a-3edd-224b-542129a844a6.pdf
d06fd8db-a373-bbf7-88e3-a7ba4ecbb1d3,1396156-1 Invoice May 5-11 WSBT,1396156-1,Fight Back Fund,"$1,800.00",05/05/20,05/11/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/d06fd8db-a373-bbf7-88e3-a7ba4ecbb1d3.pdf
4b51f8a4-f183-3fc3-bc51-09081f047313,1475302 Mike Bloomberg for President 2020 est 0110 contract 1-1 1-10-20 ORG,1475302,"Mike Bloomberg 2020, Inc","$42,350.00",12/30/19,01/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/4b51f8a4-f183-3fc3-bc51-09081f047313.pdf
d297f399-d37d-4970-7701-9807995d4129,1511145 Road to Michigans Future est 8014 contract 1-31 2-6-20 ORG,1511145,Road to Michigan's Future,"$6,925.00",01/31/20,02/06/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/d297f399-d37d-4970-7701-9807995d4129.pdf
6fa21456-9a31-77e1-666c-1b5d2854b9f5,1518467 Peters for Senate 2020 est 5537 contract 2-8 2-14-20 REV2,1518467,Peters for Senate 2020,"$6,365.00",02/08/20,02/14/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/6fa21456-9a31-77e1-666c-1b5d2854b9f5.pdf
fff6e43d-7dfc-1f3b-c980-34200cf9aa11,1546995 Unite the Country est 8459 contract 3-6 3-10-20 ORG,1546995,Unite the Country,"$23,200.00",03/06/20,03/10/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/fff6e43d-7dfc-1f3b-c980-34200cf9aa11.pdf
ff9c72fa-8267-5701-5492-e8cbf336e101,1601132 America First Action est 220125 contract 5-15 5-21-20 REV1,1601132,America First Action,"$11,700.00",05/15/20,05/21/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/ff9c72fa-8267-5701-5492-e8cbf336e101.pdf
8336cac1-6a6b-3d03-da02-406e5c5c02a3,1620718-1 John James for Senate est 11811 May invoice,1620718-1,John James for Senate 1 MI,"$15,275.00",05/07/20,05/13/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/8336cac1-6a6b-3d03-da02-406e5c5c02a3.pdf
c4ce52f5-7293-cca7-77cc-8a512eaafa83,1626531 DSCC-Peters for Senate 2020 est 5802 contract 5-27 6-2-20 ORG,1626531,DSCC-Peters For Senate 2020,"$1,750.00",05/27/20,06/02/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/c4ce52f5-7293-cca7-77cc-8a512eaafa83.pdf
77b01685-a397-3d5d-fc0b-b59d2638d87b,1646570 AB Pac est 1473 60s contract 6-23 6-29-20 ORG,1646570,AB PAC,"$21,500.00",06/23/20,06/29/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/77b01685-a397-3d5d-fc0b-b59d2638d87b.pdf
aa10b8a2-396c-f3e3-b5ee-68b227d039f4,1920096,1920096,POL/ Michael Bloomberg / D / PRES / ,$820.00,01/06/20,01/19/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/aa10b8a2-396c-f3e3-b5ee-68b227d039f4.pdf
d1b39a4a-d6b9-08cc-77f1-9d2fed8025f3,1967183-0 BLOOMBERG-D-PRES-ORDER REV 01082020,26773404,"Mike Bloomberg 2020,Inc","$32,550.00",12/30/19,1/8/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/d1b39a4a-d6b9-08cc-77f1-9d2fed8025f3.pdf
08bea544-d037-eaad-848d-8a98dbc62b36,1976789-JAN28-FEB03-INVOICE,1976789-1,Steyer/D/President,"$27,950.00",01/28/20,02/03/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/08bea544-d037-eaad-848d-8a98dbc62b36.pdf
23a5de85-3f4d-e735-92c2-a029e4121878,1982847-1 BLOOMBERG-D-PRES WAPT FEB 2020 INVOICE,1982847-1,Bloomberg/D/President,"$1,490.00",02/10/20,02/16/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/23a5de85-3f4d-e735-92c2-a029e4121878.pdf
6801061e-c321-1dd9-a219-6b3c0a58b7e9,1982885-0 BLOOMBERG-D-PRES CONTRACT REV 021920,1982885,Bloomberg/D/President,"$11,480.00",02/10/20,02/23/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/6801061e-c321-1dd9-a219-6b3c0a58b7e9.pdf
528c682d-fef7-2d25-d569-62b7d764b508,1983348-0 BLOOMBERG-D-PRES CONTRACT 021820,1983348,Bloomberg/D/President,"$1,815.00",12/30/19,03/29/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/528c682d-fef7-2d25-d569-62b7d764b508.pdf
1af023e1-3d51-7fe6-f8f1-70656181f5f1,1994088-MAR24-MAR30-INVOICE,1994088-1,Senate Majority PAC,"$17,470.00",03/24/20,03/30/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/1af023e1-3d51-7fe6-f8f1-70656181f5f1.pdf
0617c152-6638-cd96-409e-8af194730069,2006411-APR20-APR26-INVOICE,2006411-1,Ashford For Congress,"$7,465.00",04/20/20,04/26/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/0617c152-6638-cd96-409e-8af194730069.pdf
684636c0-4f27-76c9-e941-6611031323aa,2014330-1Invoices-060420,2014330-1,Blair/D/Congress,"$3,425.00",05/22/20,05/25/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/684636c0-4f27-76c9-e941-6611031323aa.pdf
5332c375-1c00-f2df-6d48-3f253a1ce712,2015905-1Invoices-060420,2015905-1,Fernandez/D/Congress/NM,"$5,925.00",05/29/20,06/02/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/5332c375-1c00-f2df-6d48-3f253a1ce712.pdf
22b8664d-6dce-4f31-5205-95147f76b1bd,21499 Invoice,21499-1,POL/MikeBloomberg/D/Pre,"$102,800.00",01/06/20,01/19/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/22b8664d-6dce-4f31-5205-95147f76b1bd.pdf
0880bc9a-9e5b-8245-f641-0ba7be31ca6f,22128-2 Invoice,22128-2,POL/Bill Johnson/R/US House/Ohio,"$44,730.00",02/24/20,03/17/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/0880bc9a-9e5b-8245-f641-0ba7be31ca6f.pdf
6c10638e-5287-d5d6-b99a-2341ddd35bd9,2363932-1,2363932-1,POL/Joyce Beatty/Congress/OH/Dem,"$2,200.00",01/27/20,02/04/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/6c10638e-5287-d5d6-b99a-2341ddd35bd9.pdf
9950ce63-cb01-a079-d9b7-639e92161bb3,2383223-1,2383223-1,POL/Michael Bloomberg/President/US/D,"$6,775.00",02/10/20,02/21/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/9950ce63-cb01-a079-d9b7-639e92161bb3.pdf
29bcc46d-b822-5d4d-7545-c7daf88ee9a5,2407515-1,2407515-1,POL/Joe Biden/President/US/Dem,"$25,900.00",03/05/20,03/17/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/29bcc46d-b822-5d4d-7545-c7daf88ee9a5.pdf
5f1971af-9c41-20c8-694e-1833eebed28e,2420107 contract NAB PB19 spot 20SPTFGT003H Bryan Woody Thrasher Gov WV R WVNS,2420107,POL/Woody Thrasher/Governor/West Virginia,"$5,400.00",03/16/20,03/22/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/5f1971af-9c41-20c8-694e-1833eebed28e.pdf
3a6ff8b7-0dc3-f28e-4031-c3654c1ddcc4,2440979 contract NABPB19 Paul Blume Raleigh County Magistrate WV D WVNS,2440979,POL/Paul Blume/Raleigh Co Magistrate/WV/CD,"$3,515.00",04/22/20,06/09/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/3a6ff8b7-0dc3-f28e-4031-c3654c1ddcc4.pdf
c3594f89-5f16-31ae-8b73-88c5520a4753,2441368-1 Invoice Paul Blume Raleigh County Magistrate WV May 2020 EVNS,2441368-1,POL/Paul Blume/Raleigh Co Magistrate/WV/Dem Direct,$265.00,04/22/20,06/09/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/c3594f89-5f16-31ae-8b73-88c5520a4753.pdf
6cb3b557-69e3-c9bf-3a69-395b3faa140c,2457179-1 Invoice Jim Justice Gov WV R April 2020 WVNS,2457179-1,POL/Jim Justice/Governor/WV/Rep,"$4,780.00",04/01/20,04/14/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/6cb3b557-69e3-c9bf-3a69-395b3faa140c.pdf
1460c595-b8f0-2ccf-ff02-0f2b7a93354c,2488189-2 Invoice Jim Justice Gov WV R May 2020 EVNS,2488189-2,POL/Jim Justice/Governor/WV/Rep,$220.00,04/23/20,04/29/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/1460c595-b8f0-2ccf-ff02-0f2b7a93354c.pdf
376840ec-858e-aaba-4f81-b370f439a341,2490456-1 Invoice Ben Salango Gov WV D May 2020 EVNS,2490456-1,POL/Ben Salango/Governor/WV/Dem,$480.00,04/27/20,05/03/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/376840ec-858e-aaba-4f81-b370f439a341.pdf
1b2e5a3c-abbd-0966-f102-c1b7b1907ec4,2493212-2,2493212-2,POL/Douglas Herndon/Supreme Court/NV/,"$1,425.00",04/29/20,05/05/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/1b2e5a3c-abbd-0966-f102-c1b7b1907ec4.pdf
937edb5d-c8d2-a3ab-010b-b1482951274b,2494187-1,2494187-1,POL/Kristina Pickering/Supreme Court/NV/Rep,"$3,960.00",05/06/20,05/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/937edb5d-c8d2-a3ab-010b-b1482951274b.pdf
e024c7c6-347f-abed-fa1b-8835085baf0e,2516768-1 Invoice Kase Poling State Representative WV R May 2020 WVNS,2516768-1,POL/Kase Poling/State Representative/WV/Rep Direct,$450.00,05/25/20,06/08/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/e024c7c6-347f-abed-fa1b-8835085baf0e.pdf
89b8c007-4189-bfa6-e0a5-fe1d173edf92,2519548-1 Invoice Ben Salango Gov WV D May 2020 EVNS,2519548-1,POL/Ben Salango/Governor/WV/Dem,$145.00,05/27/20,05/31/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/89b8c007-4189-bfa6-e0a5-fe1d173edf92.pdf
c0b67c9f-4ae2-812d-87f2-c33465ac2184,269887_Rev3,269887,MIKE BLOOMBERG 2020 INC,"$50,277.00",01/11/20,01/17/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/c0b67c9f-4ae2-812d-87f2-c33465ac2184.pdf
9e480923-edce-4533-56eb-62fcb8e8a7f8,270818_Rev4,270818 / 5,CAL FOR NC,"$37,075.00",02/25/20,03/03/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/9e480923-edce-4533-56eb-62fcb8e8a7f8.pdf
e1a17837-6866-9e53-d352-f014aef15468,271093_Rev4,271093,CAL FOR NC,"$25,685.00",01/28/20,02/03/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/e1a17837-6866-9e53-d352-f014aef15468.pdf
a21fa434-7344-7d98-8203-cd21e31ad4b5,272355_Rev3,272355 / 3,DSCC / CAL CUNNINGHAM FOR SENATE,"$39,500.00",02/11/20,02/17/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/a21fa434-7344-7d98-8203-cd21e31ad4b5.pdf
0fb8ead1-08c6-307a-21e9-6c0bc9b6638e,273516_Rev3,273516 / 3,AMY FOR AMERICA,"$46,410.00",02/26/20,03/03/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/0fb8ead1-08c6-307a-21e9-6c0bc9b6638e.pdf
c706768b-8d21-846c-2e58-307afbd74b24,277871,277871,Josh Stein for Attorney General,"$33,925.00",9/22/20,09/28/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/c706768b-8d21-846c-2e58-307afbd74b24.pdf
2a03d575-3ebb-469d-2764-69afbf97b9c6,314 ACTION 1643814 NAB 2002,,,,,,Type,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/2a03d575-3ebb-469d-2764-69afbf97b9c6.pdf
68d540c9-977e-e1e0-40da-c2e420fd15e6,314 ACTION ORDER 1621740R4,1621740,314 Action,"$60,900.00",06/02/20,06/22/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/68d540c9-977e-e1e0-40da-c2e420fd15e6.pdf
d2bbcfb2-5161-3095-6498-ee67f5346032,33138-invoice-032920-3,1457963,Biden for President (33138),$355.00,03/06/2020,03/16/2020,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/d2bbcfb2-5161-3095-6498-ee67f5346032.pdf
73981638-cc90-0e1e-444b-9186f7c846c9,33871-invoice-032920-3,1457899,Friends of Gabe McLeod (33871),$425.00,02/24/2020,03/29/2020,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/73981638-cc90-0e1e-444b-9186f7c846c9.pdf
d58c4b22-afac-c842-1227-bce0a053837d,33963-invoice-032920,1458020,Friends of Chris McCall (33963),"$1,080.00",03/10/2020,03/17/2020,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/d58c4b22-afac-c842-1227-bce0a053837d.pdf
1f1cc382-92b4-4499-31d9-92ea3bcaf6e8,34026-INVOICE-574639-042620,1465203,Committee to Re-Elect Jim Justice (340260,"$1,640.00",03/30/2020,04/26/2020,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/1f1cc382-92b4-4499-31d9-92ea3bcaf6e8.pdf
81f10125-b31b-0dc0-366f-1058891ac4e8,34382 Bernie Sanders-Order,34382,Bernie Sanders,"$28,120.00",02/18/20,02/22/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/81f10125-b31b-0dc0-366f-1058891ac4e8.pdf
a54130a3-e51e-6693-b91e-07b6483a365c,34528 Amy Klobuchar - order revision2,34528,Amy Klobuchar,"$33,900.00",02/15/20,02/21/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/a54130a3-e51e-6693-b91e-07b6483a365c.pdf
02804f3a-c189-34d1-81e9-619d4e7fbc4b,34575 Persist PAC - order revision2,34575,Persist PAC,"$68,100.00",02/17/20,02/23/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/02804f3a-c189-34d1-81e9-619d4e7fbc4b.pdf
4e67c7e4-158a-f474-70f5-929f7b07293d,4235164Invoice,4235164,Road to Michigans Future (134779),"$2,060.00",2/17/2020,2/23/2020,Token,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/4e67c7e4-158a-f474-70f5-929f7b07293d.pdf
4fc738ef-4a88-4007-2d50-0829f4f4c343,4264900Invoice,7302552,Elizabeth Warren for President-D,$120.00,3/2/2020,3/8/2020,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/4fc738ef-4a88-4007-2d50-0829f4f4c343.pdf
b59aae42-a8c7-434c-abb2-e5fa738b3e12,4368970Contract,4368970,Gary Peters for Senate-D,$155.00,05/20/20,05/25/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/b59aae42-a8c7-434c-abb2-e5fa738b3e12.pdf
f9a59888-b508-9792-d356-1d36de82c212,4390920Contract,4390920,Anieiiea First Action,"$2,060.00",06/04/20,06/11/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/f9a59888-b508-9792-d356-1d36de82c212.pdf
4f5b7bd8-66ef-6557-c9db-460828106862,45-Angie Craig for Congress-ORDER-385045,385045,Angie Craig for Congress,"$6,275.00",10/20/20,10/26/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/4f5b7bd8-66ef-6557-c9db-460828106862.pdf
e5a6c68d-c013-d50e-d782-b79c84f26e73,45-Biden for President-ORDER-381627-CODED,381627,Biden for President,$465.00,03/03/20,03/03/2,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/e5a6c68d-c013-d50e-d782-b79c84f26e73.pdf
03106d4c-1c90-b234-d191-5affc2ecad05,45-Future Forward USA Pac-ORDER-387130,387130,Future Forward USA PAC,"$9,865.00",10/13/20,10/19/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/03106d4c-1c90-b234-d191-5affc2ecad05.pdf
