,token,count
0,,9979
1,of,9857
2,agency,9843
3,spots,9808
4,product,9772
5,advertiser,9721
6,page,9603
7,sales,9519
8,date,9505
9,order,9471
10,billing,9465
11,office,9452
12,rate,9432
13,net,9287
14,dates,9175
15,account,9162
16,a,9136
17,news,9113
18,code,9095
19,cash,8885
20,gross,8879
21,estimate,8866
22,executive,8829
23,time,8806
24,start,8737
25,end,8651
26,p,8636
27,totals,8618
28,amount,8607
29,week,8560
30,cycle,8525
31,spotsweek,8402
32,print,8381
33,alt,8380
34,ch,8376
35,startend,8351
36,nm,8292
37,original,8267
38,demographic,8215
39,weekdays,8075
40,days,8005
41,broadcast,7850
42,eomeoc,7656
43,new,7231
44,the,7164
45,mf,7141
46,s,7114
47,type,7113
48,calendar,7001
49,for,6580
50,n,6476
51,month,6285
52,orders,6252
53,contract,6195
54,e,5980
55,pm,5918
56,m,5883
57,station,5879
58,length,5862
59,media,5769
60,flight,5649
61,rating,5643
62,description,5571
63,ref,5494
64,ln,5464
65,buying,5458
66,rev,5450
67,break,5408
68,su,5407
69,region,5275
70,revision,5250
71,to,5222
72,pp,5203
73,len,5197
74,contact,5162
75,am,5115
76,at,5107
77,primary,5099
78,sa,5038
79,inventory,5019
80,and,4965
81,codes,4957
82,plan,4936
83,pri,4918
84,rtgtype,4863
85,priority,4855
86,aa,4854
87,is,4849
88,t,4781
89,this,4772
90,commission,4694
91,in,4673
92,f,4667
93,cm,4606
94,line,4499
95,by,4451
96,washington,4445
97,dc,4436
98,on,4415
99,pol,4410
100,sun,4385
101,pa,4294
102,with,4283
103,w,4225
104,terms,4174
105,d,4063
106,special,4043
107,sat,4025
108,period,4018
109,name,4004
110,total,3991
111,prime,3905
112,late,3902
113,agreement,3852
114,or,3824
115,market,3753
116,not,3715
117,ae,3714
118,id,3694
119,between,3684
120,handling,3632
121,payment,3621
122,sunday,3607
123,share,3596
124,be,3558
125,business,3554
126,any,3545
127,are,3540
128,show,3522
129,bill,3519
130,contracts,3488
131,conditions,3484
132,external,3478
133,thru,3405
134,separation,3405
135,desc,3401
136,spot,3400
137,revenue,3386
138,executives,3384
139,signature,3380
140,shall,3374
141,suite,3358
142,above,3353
143,general,3334
144,dateend,3328
145,otherwise,3290
146,deleted,3283
147,transactions,3280
148,edited,3280
149,ap,3276
150,cashtrade,3274
151,severally,3264
152,specified,3262
153,constitute,3255
154,jointly,3248
155,nat,3231
156,typespots,3225
157,street,3171
158,morning,3154
159,cable,3150
160,political,3094
161,printed,3091
162,advertising,3082
163,idb,3068
164,agy,3030
165,received,3022
166,such,2954
167,inc,2940
168,within,2938
169,saturday,2920
170,service,2909
171,instructions,2892
172,range,2847
173,full,2779
174,until,2771
175,pay,2761
176,unkwn,2757
177,remain,2752
178,notwithstanding,2749
179,will,2744
180,obligated,2743
181,correspondence,2737
182,october,2737
183,today,2736
184,rendered,2735
185,whom,2733
186,bills,2731
187,va,2626
188,that,2615
189,th,2612
190,adults,2610
191,race,2587
192,mtwtf,2575
193,nw,2566
194,noon,2529
195,notice,2520
196,america,2512
197,gen,2495
198,basis,2459
199,bound,2450
200,discriminate,2426
201,ethnicity,2415
202,when,2395
203,unless,2386
204,copy,2385
205,ave,2380
206,pl,2368
207,conflict,2359
208,insertion,2341
209,dr,2325
210,advance,2285
211,msu,2245
212,philadelphia,2214
213,tonight,2199
214,does,2191
215,c,2173
216,hereby,2157
217,alexandria,2156
218,football,2119
219,competitive,2117
220,national,2109
221,rtg,2104
222,gma,2051
223,good,2045
224,twtf,2032
225,required,2020
226,mg,1994
227,live,1970
228,cancellation,1948
229,day,1925
230,stations,1918
231,sep,1880
232,nfl,1878
233,early,1865
234,nbc,1846
235,no,1831
236,hiatus,1788
237,see,1787
238,an,1780
239,part,1771
240,which,1763
241,including,1721
242,night,1711
243,accept,1701
244,value,1698
245,b,1685
246,st,1664
247,senate,1655
248,chdate,1654
249,ii,1631
250,nightline,1614
251,september,1610
252,particular,1591
253,com,1584
254,all,1584
255,competing,1568
256,american,1563
257,made,1560
258,amountgross,1548
259,calendarbroadcast,1546
260,credited,1527
261,action,1496
262,mon,1479
263,ellen,1461
264,jeopardy,1441
265,two,1423
266,cbs,1415
267,sasu,1409
268,fri,1406
269,x,1397
270,other,1384
271,it,1374
272,tv,1372
273,avenue,1368
274,november,1349
275,fox,1284
276,program,1261
277,wtf,1254
278,congress,1247
279,ewsdc,1233
280,cand,1232
281,may,1226
282,pmpm,1220
283,if,1218
284,mt,1198
285,group,1192
286,under,1189
287,tu,1188
288,local,1180
289,wisconsin,1166
290,from,1159
291,price,1158
292,due,1146
293,provision,1144
294,friday,1125
295,tue,1116
296,place,1112
297,our,1111
298,candidate,1109
299,game,1106
300,abc,1105
301,weeks,1100
302,access,1099
303,i,1099
304,co,1096
305,various,1095
306,k,1088
307,right,1086
308,phil,1086
309,services,1085
310,wheel,1080
311,air,1079
312,kelly,1076
313,wed,1076
314,weekend,1072
315,deal,1038
316,we,1032
317,tax,1031
318,hour,1030
319,view,1026
320,edition,1025
321,obama,1023
322,do,1012
323,monday,1009
324,rejected,1000
325,llc,1000
326,house,974
327,timedays,972
328,liable,969
329,entertainment,966
330,even,959
331,as,955
332,advertisements,951
333,television,951
334,last,943
335,doctors,937
336,agreed,932
337,purports,928
338,tf,927
339,handwritten,924
340,typed,923
341,buyer,917
342,run,906
343,amam,897
344,denver,895
345,ss,895
346,oz,881
347,traffic,878
348,oh,876
349,confirmation,870
350,firm,865
351,issue,864
352,strategies,861
353,fortune,861
354,inside,852
355,upon,847
356,tuesday,840
357,md,840
358,class,840
359,ste,840
360,blvd,838
361,note,838
362,its,836
363,judge,835
364,salesperson,834
365,available,827
366,millionaire,824
367,sports,823
368,sale,807
369,jimmy,806
370,ray,804
371,david,803
372,ra,801
373,preemptible,799
374,woio,796
375,lives,796
376,margolis,795
377,center,794
378,est,794
379,party,792
380,judy,792
381,us,790
382,thu,789
383,r,787
384,mentzer,785
385,request,781
386,mitchell,779
387,represents,774
388,home,772
389,letterman,771
390,nightly,767
391,mo,766
392,brand,759
393,warrants,756
394,hospital,755
395,ma,751
396,placed,751
397,purchasing,747
398,only,746
399,purpose,746
400,comments,745
401,midday,744
402,thursday,743
403,aaron,743
404,nws,741
405,but,739
406,written,737
407,towson,736
408,katie,735
409,whether,728
410,millennium,724
411,provided,724
412,package,721
413,limited,720
414,iss,717
415,wkyc,717
416,greer,717
417,tphi,717
418,prior,711
419,four,711
420,effective,710
421,g,705
422,twas,703
423,except,702
424,cpe,698
425,has,694
426,lets,694
427,road,694
428,agent,693
429,oct,693
430,face,688
431,actual,686
432,lane,685
433,august,685
434,reg,676
435,your,674
436,been,672
437,discriminatory,672
438,decisions,672
439,andor,671
440,schedule,671
441,network,665
442,wednesday,665
443,college,663
444,intent,658
445,dave,657
446,republican,654
447,rtn,653
448,president,652
449,jim,647
450,either,646
451,ksnv,644
452,usa,642
453,demo,641
454,confirm,635
455,writing,633
456,lombardo,632
457,speer,631
458,wuab,631
459,spw,629
460,voice,628
461,chew,628
462,immediately,622
463,expressly,622
464,set,621
465,material,621
466,out,619
467,subject,619
468,nc,618
469,chris,618
470,extra,617
471,least,617
472,delivery,617
473,forth,613
474,committee,612
475,hereunder,611
476,change,611
477,report,610
478,rachael,609
479,contained,605
480,klas,601
481,relating,600
482,termination,599
483,herein,598
484,obligations,598
485,attention,598
486,provisions,595
487,mtwtfss,594
488,se,593
489,season,593
490,ktnv,591
491,kvvu,590
492,kblr,589
493,ktud,589
494,named,588
495,rachel,587
496,sunrise,586
497,liabilities,584
498,gmmb,583
499,research,581
500,noncancellable,580
501,division,577
502,invoice,577
503,slaters,576
504,ashe,575
505,platform,574
506,strategic,573
507,meet,573
508,following,572
509,respect,570
510,terminate,567
511,quinn,567
512,state,565
513,ny,565
514,vegas,564
515,iii,563
516,related,562
517,consent,561
518,first,561
519,rd,560
520,previously,559
521,express,558
522,normal,556
523,press,555
524,kimmel,554
525,grand,553
526,daytime,553
527,telerep,552
528,separate,550
529,implied,550
530,box,550
531,joe,547
532,standard,546
533,address,543
534,commitment,536
535,wf,536
536,powered,535
537,city,533
538,daybreak,530
539,wideorbit,530
540,telemundo,528
541,law,528
542,acceptance,527
543,everywhere,526
544,together,525
545,warranties,525
546,fr,525
547,wjw,523
548,wknd,523
549,cover,522
550,proceeding,522
551,premier,522
552,wews,522
553,wbnx,522
554,nbctelemundo,521
555,nbce,521
556,nbcu,521
557,lur,519
558,dateline,518
559,universal,514
560,among,513
561,disclaimed,513
562,reliance,513
563,retail,513
564,tdy,513
565,comm,513
566,na,513
567,fallon,513
568,property,508
569,weekly,508
570,channel,507
571,kinc,505
572,plus,505
573,nov,504
574,hearst,503
575,lv,502
576,king,501
577,crossroads,501
578,daniel,499
579,ampm,497
580,baylog,496
581,mary,493
582,johnson,492
583,ksaz,491
584,xm,491
585,make,488
586,makegood,484
587,plaza,483
588,further,483
589,per,482
590,gender,480
591,morn,476
592,placement,475
593,po,474
594,dt,474
595,dancing,473
596,obamadpresident,473
597,liability,472
598,fees,471
599,monthly,471
600,canal,470
601,attorneys,470
602,without,469
603,lines,466
604,campaign,465
605,statement,462
606,times,460
607,tricoli,460
608,preempted,460
609,nation,457
610,klvx,454
611,after,454
612,non,454
613,regis,453
614,kfbt,453
615,kvwb,453
616,rambler,452
617,las,451
618,become,449
619,loc,448
620,kpnx,447
621,beverly,446
622,conant,445
623,pac,444
624,sec,440
625,indemnify,440
626,credit,440
627,tt,438
628,agrees,437
629,twt,437
630,massachusetts,436
631,fss,432
632,anderson,430
633,claims,430
634,mtwt,430
635,impermissibly,429
636,east,429
637,drive,428
638,information,424
639,romney,422
640,amy,418
641,space,414
642,cdr,414
643,regular,413
644,up,412
645,smart,411
646,soaps,411
647,log,411
648,o,409
649,polcand,408
650,preempt,408
651,charlotte,406
652,cleveland,403
653,pb,402
654,pmam,401
655,types,397
656,entered,396
657,kmsp,396
